draws,height_cm,losses,name,reach_cm,stance,strikes_per_min,striking_accuracy,submission_avg,takedown_accuracy,takedown_avg,takedown_defense,weight_kg,wins
,182.88,,Quemuel Ottoni,182.88,,0.0,0.0,0.0,0.0,0.0,0.0,70.31,
,167.64,,Takafumi Otsuka,,,1.29,0.27,0.0,0.27,2.12,0.65,63.05,
,185.42,,Alexander Otsuka,,,0.9,0.55,0.8,0.43,1.16,0.53,92.99,
,190.5,,Pedro Otavio,,,0.0,0.0,0.0,0.0,0.0,0.0,111.13,
,160.02,,Rachael Ostovich,157.48,,2.54,0.43,0.8,0.83,3.97,0.66,56.7,
,187.96,,Nissen Osterneck,,,3.15,0.58,1.3,0.12,2.9,0.42,83.91,
,187.96,,Nick Osipczak,193.04,,2.83,0.5,1.0,0.45,3.77,0.71,77.11,
,,,Kurt Osiander,,,0.0,0.0,0.0,0.0,0.0,0.0,83.91,
,170.18,,Ode Osbourne,185.42,,3.26,0.4,0.6,0.28,4.01,0.63,56.7,
,170.18,,Kenji Osawa,167.64,,2.34,0.35,0.7,0.58,2.14,0.68,61.23,
,165.1,,Dustin Ortiz,165.1,,2.94,0.44,0.1,0.36,2.17,0.52,56.7,
,182.88,,Jorge Ortiz,,,3.53,0.58,0.0,0.0,2.8,0.0,83.91,
,190.5,,Tito Ortiz,187.96,,2.59,0.46,0.6,0.35,2.88,0.54,92.99,
